, First_quartile ,Second_quartile , Third_quartile ,Fourth_quartile ,p.overall
,     N=107      ,     N=109      ,     N=126      ,      N=93      ,         
age,    32.1±4.2    ,    31.6±4.0    ,    31.9±4.5    ,    32.5±4.8    ,0.465
previous_preg:,                ,                ,                ,                ,    .    
0,   75 (70.1%)   ,   54 (49.5%)   ,   52 (41.3%)   ,   54 (58.1%)   ,         
1,   19 (17.8%)   ,   26 (23.9%)   ,   34 (27.0%)   ,   13 (14.0%)   ,         
2,    9 (8.4%)    ,   25 (22.9%)   ,   31 (24.6%)   ,   21 (22.6%)   ,         
3,    2 (1.9%)    ,    4 (3.7%)    ,    6 (4.8%)    ,    5 (5.4%)    ,         
4,    2 (1.9%)    ,    0 (0.0%)    ,    1 (0.8%)    ,    0 (0.0%)    ,         
5,    0 (0.0%)    ,    0 (0.0%)    ,    2 (1.6%)    ,    0 (0.0%)    ,         
type_of_preg:,                ,                ,                ,                ,0.007
    Assisted,   24 (22.4%)   ,   12 (11.0%)   ,   10 (7.9%)    ,   10 (10.8%)   ,         
    Natural,   83 (77.6%)   ,   97 (89.0%)   ,  116 (92.1%)   ,   83 (89.2%)   ,         
vaccination:,                ,                ,                ,                , <0.001  
    Fully vaccinated,   31 (29.0%)   ,   74 (67.9%)   ,  100 (79.4%)   ,   56 (60.2%)   ,         
    Only 1 dose,   76 (71.0%)   ,   35 (32.1%)   ,   26 (20.6%)   ,   37 (39.8%)   ,         
first_vaccine: AstraZeneca,  107 (100.0%)  ,  109 (100.0%)  ,  126 (100.0%)  ,  93 (100.0%)   ,    .    
second_vaccine: AstraZeneca,  31 (100.0%)   ,  74 (100.0%)   ,  100 (100.0%)  ,  56 (100.0%)   ,    .    
gest_at_vaccine,    25.7±3.0    ,    31.0±0.9    ,    34.0±0.9    ,    37.3±1.2    , <0.001  
gest_hbp_b: 0,  107 (100.0%)  ,  109 (100.0%)  ,  126 (100.0%)  ,  93 (100.0%)   ,    .    
gest_diabetes_b: 1,   19 (17.8%)   ,   17 (15.6%)   ,   17 (13.5%)   ,    5 (5.4%)    ,0.06
gest_hbp_a: 1,    0 (0.0%)    ,    0 (0.0%)    ,    1 (0.8%)    ,    0 (0.0%)    ,1
gest_diabetes_a: 1,    0 (0.0%)    ,    1 (0.9%)    ,    0 (0.0%)    ,    0 (0.0%)    ,0.71
gest_at_birth,    37.8±2.6    ,    38.6±1.0    ,    38.7±1.0    ,    38.7±0.8    , <0.001  
ges_L28: 1,    3 (2.8%)    ,    0 (0.0%)    ,    0 (0.0%)    ,    0 (0.0%)    ,0.024
ges_L34: 1,    6 (5.6%)    ,    0 (0.0%)    ,    0 (0.0%)    ,    0 (0.0%)    , <0.001  
ges_L37: 1,   17 (15.9%)   ,    5 (4.6%)    ,    4 (3.2%)    ,    2 (2.2%)    , <0.001  
oligohydramnios: 1,    5 (4.7%)    ,    4 (3.7%)    ,    3 (2.4%)    ,    0 (0.0%)    ,0.17
polyhydramnios: 1,    1 (0.9%)    ,    3 (2.8%)    ,    6 (4.8%)    ,    4 (4.3%)    ,0.341
ICU: 0,  107 (100.0%)  ,  109 (100.0%)  ,  126 (100.0%)  ,  93 (100.0%)   ,    .    
multi_preg: Singleton,  107 (100.0%)  ,  109 (100.0%)  ,  126 (100.0%)  ,  93 (100.0%)   ,    .    
still_birth: 1,    2 (1.9%)    ,    0 (0.0%)    ,    0 (0.0%)    ,    0 (0.0%)    ,0.105
birthweight1,  3056.4±615.2  ,  3137.7±365.3  ,  3138.7±365.8  ,  3186.8±294.8  ,0.184
low_birthweight: 1,    8 (7.6%)    ,    0 (0.0%)    ,    3 (2.4%)    ,    0 (0.0%)    ,0.001
Heavy_bw: 1,    2 (1.9%)    ,    1 (0.9%)    ,    1 (0.8%)    ,    2 (2.2%)    ,0.736
,50.8±28.5,47.0±29.0,46.8±28.8,47.6±25.3,0.698
bw_percentile,50.0 [25.0;75.0],50.0 [25.0;75.0],50.0 [25.0;75.0],50.0 [25.0;75.0],0.666
L_10_per: 1,    6 (5.6%)    ,    4 (3.7%)    ,    7 (5.6%)    ,    0 (0.0%)    ,0.072
nicu: 1,    6 (5.6%)    ,    3 (2.8%)    ,   12 (9.5%)    ,    3 (3.2%)    ,0.093
defects: 1,    2 (1.9%)    ,    0 (0.0%)    ,    2 (1.6%)    ,    0 (0.0%)    ,0.315
mother_covid_2:,                ,                ,                ,                ,0.557
0,   97 (90.7%)   ,   97 (89.0%)   ,  115 (91.3%)   ,   88 (94.6%)   ,         
1,   10 (9.3%)    ,   12 (11.0%)   ,   11 (8.7%)    ,    5 (5.4%)    ,         
