, First_quartile ,Second_quartile , Third_quartile ,Fourth_quartile ,p.overall
,     N=114      ,     N=116      ,     N=108      ,     N=129      ,         
age,    31.5±4.2    ,    31.1±4.3    ,    30.4±4.4    ,    30.5±4.7    ,0.262
previous_preg:,                ,                ,                ,                ,    .    
0,   56 (49.1%)   ,   40 (34.5%)   ,   36 (33.3%)   ,   64 (49.6%)   ,         
1,   29 (25.4%)   ,   38 (32.8%)   ,   39 (36.1%)   ,   36 (27.9%)   ,         
2,   23 (20.2%)   ,   29 (25.0%)   ,   27 (25.0%)   ,   22 (17.1%)   ,         
3,    6 (5.3%)    ,    8 (6.9%)    ,    5 (4.6%)    ,    6 (4.7%)    ,         
4,    0 (0.0%)    ,    1 (0.9%)    ,    1 (0.9%)    ,    1 (0.8%)    ,         
type_of_preg:,                ,                ,                ,                , <0.001  
    Assisted,   19 (16.7%)   ,    2 (1.7%)    ,    5 (4.6%)    ,   10 (7.8%)    ,         
    Natural,   95 (83.3%)   ,  114 (98.3%)   ,  103 (95.4%)   ,  119 (92.2%)   ,         
vaccination:,                ,                ,                ,                , <0.001  
    Fully vaccinated,   73 (64.0%)   ,   95 (81.9%)   ,   93 (86.1%)   ,  114 (88.4%)   ,         
    Only 1 dose,   41 (36.0%)   ,   21 (18.1%)   ,   15 (13.9%)   ,   15 (11.6%)   ,         
first_vaccine: Pfizer BioNTech,  114 (100.0%)  ,  116 (100.0%)  ,  108 (100.0%)  ,  129 (100.0%)  ,    .    
second_vaccine: Pfizer BioNTech,  73 (100.0%)   ,  95 (100.0%)   ,  93 (100.0%)   ,  114 (100.0%)  ,    .    
gest_at_vaccine,    27.1±2.0    ,    31.1±1.0    ,    34.0±0.8    ,    37.2±1.0    , <0.001  
gest_hbp_b: 1,    1 (0.9%)    ,    0 (0.0%)    ,    1 (0.9%)    ,    1 (0.8%)    ,0.803
gest_diabetes_b: 1,   26 (22.8%)   ,   15 (12.9%)   ,   14 (13.0%)   ,    5 (3.9%)    , <0.001  
gest_hbp_a: 1,    0 (0.0%)    ,    1 (0.9%)    ,    3 (2.8%)    ,    1 (0.8%)    ,0.243
gest_diabetes_a: 1,    2 (1.8%)    ,    0 (0.0%)    ,    1 (0.9%)    ,    0 (0.0%)    ,0.182
gest_at_birth,    38.2±1.7    ,    38.5±1.5    ,    38.6±1.2    ,    38.9±0.7    , <0.001  
ges_L28: 0,  114 (100.0%)  ,  116 (100.0%)  ,  108 (100.0%)  ,  129 (100.0%)  ,    .    
ges_L34: 1,    5 (4.4%)    ,    2 (1.7%)    ,    1 (0.9%)    ,    0 (0.0%)    ,0.047
ges_L37: 1,   12 (10.5%)   ,   12 (10.3%)   ,    7 (6.5%)    ,    1 (0.8%)    ,0.007
oligohydramnios: 1,    2 (1.8%)    ,    2 (1.7%)    ,    6 (5.6%)    ,    3 (2.3%)    ,0.324
polyhydramnios: 1,    5 (4.4%)    ,    6 (5.2%)    ,    7 (6.5%)    ,    3 (2.3%)    ,0.446
ICU: 1,    1 (0.9%)    ,    1 (0.9%)    ,    0 (0.0%)    ,    0 (0.0%)    ,0.599
multi_preg: Singleton,  114 (100.0%)  ,  116 (100.0%)  ,  108 (100.0%)  ,  129 (100.0%)  ,    .    
still_birth: 1,    0 (0.0%)    ,    0 (0.0%)    ,    1 (0.9%)    ,    0 (0.0%)    ,0.231
birthweight1,  3120.8±417.6  ,  3115.7±410.9  ,  3067.7±460.3  ,  3176.9±353.2  ,0.238
low_birthweight: 1,    7 (6.1%)    ,    7 (6.0%)    ,   10 (9.3%)    ,    2 (1.6%)    ,0.076
Heavy_bw: 1,    2 (1.8%)    ,    2 (1.7%)    ,    3 (2.8%)    ,    3 (2.3%)    ,0.947
bw_percentile,50.7±28.8,47.6±27.6,41.1±29.1,46.0±28.3,0.089
bw_percentile,50.0 [25.0;75.0],50.0 [25.0;75.0],37.5 [10.0;75.0],50.0 [25.0;75.0],0.073
L_10_per: 1,    4 (3.5%)    ,    4 (3.4%)    ,   12 (11.1%)   ,    7 (5.4%)    ,0.048
nicu: 1,    5 (4.4%)    ,    6 (5.2%)    ,    7 (6.5%)    ,    3 (2.3%)    ,0.439
defects: 1,    0 (0.0%)    ,    0 (0.0%)    ,    1 (0.9%)    ,    2 (1.6%)    ,0.512
mother_covid_2: 0,  114 (100.0%)  ,  116 (100.0%)  ,  108 (100.0%)  ,  129 (100.0%)  ,    .    
