, First_quartile ,Second_quartile , Third_quartile ,Fourth_quartile ,p.overall
,     N=128      ,     N=123      ,     N=115      ,     N=136      ,         
age,    31.4±4.3    ,    30.9±4.4    ,    30.4±4.4    ,    30.4±4.7    ,0.244
previous_preg:,                ,                ,                ,                ,    .    
0,   57 (44.5%)   ,   40 (32.5%)   ,   36 (31.3%)   ,   65 (47.8%)   ,         
1,   37 (28.9%)   ,   41 (33.3%)   ,   40 (34.8%)   ,   38 (27.9%)   ,         
2,   27 (21.1%)   ,   33 (26.8%)   ,   33 (28.7%)   ,   25 (18.4%)   ,         
3,    7 (5.5%)    ,    8 (6.5%)    ,    5 (4.3%)    ,    7 (5.1%)    ,         
4,    0 (0.0%)    ,    1 (0.8%)    ,    1 (0.9%)    ,    1 (0.7%)    ,         
type_of_preg:,                ,                ,                ,                ,0.001
    Assisted,   19 (14.8%)   ,    3 (2.4%)    ,    5 (4.3%)    ,   10 (7.4%)    ,         
    Natural,  109 (85.2%)   ,  120 (97.6%)   ,  110 (95.7%)   ,  126 (92.6%)   ,         
vaccination:,                ,                ,                ,                , <0.001  
    Fully vaccinated,   81 (63.3%)   ,  102 (82.9%)   ,  100 (87.0%)   ,  121 (89.0%)   ,         
    Only 1 dose,   47 (36.7%)   ,   21 (17.1%)   ,   15 (13.0%)   ,   15 (11.0%)   ,         
first_vaccine: Pfizer BioNTech,  128 (100.0%)  ,  123 (100.0%)  ,  115 (100.0%)  ,  136 (100.0%)  ,    .    
second_vaccine: Pfizer BioNTech,  81 (100.0%)   ,  102 (100.0%)  ,  100 (100.0%)  ,  121 (100.0%)  ,    .    
gest_at_vaccine,    27.1±2.0    ,    31.1±1.0    ,    34.0±0.8    ,    37.3±1.0    , <0.001  
gest_hbp_b: 1,    1 (0.8%)    ,    0 (0.0%)    ,    1 (0.9%)    ,    1 (0.7%)    ,0.898
gest_diabetes_b: 1,   26 (20.3%)   ,   15 (12.2%)   ,   15 (13.0%)   ,    6 (4.4%)    ,0.001
gest_hbp_a: 1,    0 (0.0%)    ,    1 (0.8%)    ,    3 (2.6%)    ,    1 (0.7%)    ,0.209
gest_diabetes_a: 1,    4 (3.1%)    ,    0 (0.0%)    ,    1 (0.9%)    ,    0 (0.0%)    ,0.027
gest_at_birth,    38.2±1.7    ,    38.5±1.5    ,    38.6±1.2    ,    38.9±0.7    , <0.001  
ges_L28: 0,  128 (100.0%)  ,  123 (100.0%)  ,  115 (100.0%)  ,  136 (100.0%)  ,    .    
ges_L34: 1,    5 (3.9%)    ,    2 (1.6%)    ,    1 (0.9%)    ,    0 (0.0%)    ,0.056
ges_L37: 1,   14 (10.9%)   ,   12 (9.8%)    ,    7 (6.1%)    ,    1 (0.7%)    ,0.004
oligohydramnios: 1,    2 (1.6%)    ,    4 (3.3%)    ,    6 (5.2%)    ,    3 (2.2%)    ,0.398
polyhydramnios: 1,    5 (3.9%)    ,    7 (5.7%)    ,    7 (6.1%)    ,    4 (2.9%)    ,0.591
ICU: 1,    1 (0.8%)    ,    1 (0.8%)    ,    0 (0.0%)    ,    0 (0.0%)    ,0.729
multi_preg: Singleton,  128 (100.0%)  ,  123 (100.0%)  ,  115 (100.0%)  ,  136 (100.0%)  ,    .    
still_birth: 1,    0 (0.0%)    ,    0 (0.0%)    ,    1 (0.9%)    ,    0 (0.0%)    ,0.229
birthweight1,  3126.7±412.4  ,  3130.2±415.5  ,  3073.7±453.1  ,  3183.3±355.2  ,0.213
low_birthweight: 1,    8 (6.2%)    ,    7 (5.7%)    ,   10 (8.7%)    ,    2 (1.5%)    ,0.079
Heavy_bw: 1,    2 (1.6%)    ,    2 (1.6%)    ,    3 (2.6%)    ,    3 (2.2%)    ,0.923
bw_percentile,51.0±28.7,48.3±27.6,41.0±28.8,46.6±28.1,0.048
bw_percentile,50.0 [25.0;75.0],50.0 [25.0;75.0],25.0 [10.0;75.0],50.0 [25.0;75.0],0.04
L_10_per: 1,    4 (3.1%)    ,    4 (3.3%)    ,   12 (10.4%)   ,    7 (5.1%)    ,0.043
nicu: 1,    6 (4.7%)    ,    6 (4.9%)    ,    7 (6.1%)    ,    4 (2.9%)    ,0.683
defects: 1,    0 (0.0%)    ,    0 (0.0%)    ,    2 (1.7%)    ,    2 (1.5%)    ,0.264
mother_covid_2:,                ,                ,                ,                ,0.236
0,  114 (89.1%)   ,  116 (94.3%)   ,  108 (93.9%)   ,  129 (94.9%)   ,         
1,   14 (10.9%)   ,    7 (5.7%)    ,    7 (6.1%)    ,    7 (5.1%)    ,         
