,"""level""","""Overall"""
"""n""",,264
"""age (mean (SD))""",,34.11 (3.76)
"""bmi (mean (SD))""",,21.01 (2.61)
"""inf_duration (%)""",0,7 (2.7)
"""""",0.67,1 (0.4)
"""""",1,30 (11.4)
"""""",1.5,1 (0.4)
"""""",10,9 (3.4)
"""""",11,5 (1.9)
"""""",12,4 (1.5)
"""""",13,7 (2.7)
"""""",15,1 (0.4)
"""""",16,1 (0.4)
"""""",17,2 (0.8)
"""""",18,2 (0.8)
"""""",2,26 (9.8)
"""""",3,31 (11.7)
"""""",4,21 (8.0)
"""""",4.5,1 (0.4)
"""""",5,25 (9.5)
"""""",6,29 (11.0)
"""""",7,21 (8.0)
"""""",8,17 (6.4)
"""""",9,23 (8.7)
"""cycle_before (mean (SD))""",,4.08 (1.77)
,3,162 (68.9)
,4,7 (3.0)
,5,66 (28.1)
,,
"""total_l1l2_trans_before (mean (SD))""",,3.09 (3.31)
"""emb_trans_no (mean (SD))""",,1.98 (0.56)
"""endo (mean (SD))""",,11.15 (1.59)
,,
,"""level""","""Overall"""
"""n""",,264
"""type_of_inf (%)""",Primary,139 (57.7)
"""""",Secondary,102 (42.3)
"""cause_of_inf (%)""",CRNN,30 (11.4)
"""""",GDTBT,43 (16.3)
"""""",Khác,86 (32.6)
"""""",LNMTC,5 (1.9)
"""""",Male,57 (21.6)
"""""",RLPN,7 (2.7)
"""""",TV,36 (13.6)
"""ocupation (%)""",Công nhân,42 (15.9)
"""""",D<U+1ECB>ch v<U+1EE5>,4 (1.5)
"""""",Khác,57 (21.6)
"""""",L<U+1EF1>c lu<U+1EE3>ng vu trang,3 (1.1)
"""""",Nông dân,27 (10.2)
"""""",Trí th<U+1EE9>c,125 (47.3)
"""""",Y t<U+1EBF>,6 (2.3)
