,"""level""","""0""","""1""","""p""","""test"""
"""n""",,302,302,,
"""type_of_inf (%)""",Primary,147 (54.9),143 (57.7),0.579,
"""""",Secondary,121 (45.1),105 (42.3),,
"""cause_of_inf (%)""",CRNN,37 (12.3),32 (10.6),0.001,
"""""",GDTBT,23 (7.6),47 (15.6),,
"""""",Khác,84 (27.8),111 (36.8),,
"""""",LNMTC,9 (3.0),5 (1.7),,
"""""",Male,77 (25.5),61 (20.2),,
"""""",RLPN,19 (6.3),7 (2.3),,
"""""",TV,53 (17.5),39 (12.9),,
"""ocupation (%)""",Công nhân,19 (6.3),46 (15.2),<0.001,
"""""",D?ch v?,10 (3.3),4 (1.3),,
"""""",Khác,56 (18.5),69 (22.8),,
"""""",L?c l??ng v? trang,0 (0.0),4 (1.3),,
"""""",Nông dân,20 (6.6),30 (9.9),,
"""""",Trí th?c,195 (64.6),143 (47.4),,
"""""",Y t?,2 (0.7),6 (2.0),,
