,1,0,p.overall
,   N=302   ,   N=302   ,         
beta:,           ,           ,0.044
0,34 (11.3%) ,19 (6.29%) ,         
1,268 (88.7%),283 (93.7%),         
clinical:,           ,           ,0.058
0,62 (22.3%) ,84 (29.7%) ,         
1,216 (77.7%),199 (70.3%),         
ongoing_12w:,           ,           ,0.66
0,49 (25.8%) ,33 (23.1%) ,         
1,141 (74.2%),110 (76.9%),         
ongoing_24w:,           ,           ,0.019
0,25 (15.4%) , 6 (5.45%) ,         
1,137 (84.6%),104 (94.5%),         
extra_uterine: 1, 6 (100%)  , 4 (100%)  ,    .    
multi_preg: 1, 60 (100%) , 59 (100%) ,    .    
luu: 1, 3 (100%)  , 32 (100%) ,    .    
