"","         0         ","         1         ","p.overall"
"","       N=207       ","       N=113       ","         "
"Group:","                   ","                   ","  0.310  "
"    CSD","    71 (34.3%)     ","    46 (40.7%)     ","         "
"    non-CSD","    136 (65.7%)    ","    67 (59.3%)     ","         "
"age","    32.1 (4.9)     ","    31.2 (3.6)     ","  0.059  "
"MLT_HM_duration","     5.9 (3.6)     ","     4.7 (3.1)     ","  0.003  "
"bmi","    22.0 (2.8)     ","    21.9 (2.5)     ","  0.678  "
"AMH","   2.6 [1.3;4.9]   ","   3.0 [1.9;5.6]   ","  0.073  "
"Chan_doan:","                   ","                   ","    .    "
"    BNLT","     18 (8.7%)     ","     6 (5.3%)      ","         "
"    CRNN","    67 (32.4%)     ","    32 (28.3%)     ","         "
"    GDTBT","    40 (19.3%)     ","     7 (6.2%)      ","         "
"    Khac","     11 (5.3%)     ","     7 (6.2%)      ","         "
"    LNMTC","     2 (1.0%)      ","     1 (0.9%)      ","         "
"    Male","    24 (11.6%)     ","    27 (23.9%)     ","         "
"    RLPN","    31 (15.0%)     ","    13 (11.5%)     ","         "
"    TV","     14 (6.8%)     ","    20 (17.7%)     ","         "
"inf_duration","     3.0 (2.7)     ","     2.8 (2.3)     ","  0.448  "
"ChidinhMLT:","                   ","                   ","  0.817  "
"    0","     2 (1.0%)      ","     0 (0.0%)      ","         "
"    1","    148 (71.5%)    ","    81 (71.7%)     ","         "
"    2","    57 (27.5%)     ","    32 (28.3%)     ","         "
"Dathai:","                   ","                   ","  0.332  "
"    0","    202 (97.6%)    ","    108 (95.6%)    ","         "
"    1","     5 (2.4%)      ","     5 (4.4%)      ","         "
"NhiemtrungVM:","                   ","                   ","  0.185  "
"    0","    204 (98.6%)    ","    110 (97.3%)    ","         "
"    1","     3 (1.4%)      ","     1 (0.9%)      ","         "
"    2","     0 (0.0%)      ","     2 (1.8%)      ","         "
"THAthai:","                   ","                   ","  0.350  "
"    0","    205 (99.0%)    ","    110 (97.3%)    ","         "
"    1","     2 (1.0%)      ","     3 (2.7%)      ","         "
"DTDthai:","                   ","                   ","  0.111  "
"    0","    199 (96.1%)    ","    103 (91.2%)    ","         "
"    1","     8 (3.9%)      ","     10 (8.8%)     ","         "
"XHTC:","                   ","                   ","  0.551  "
"    0","    200 (97.1%)    ","    110 (97.3%)    ","         "
"    1a","     1 (0.5%)      ","     1 (0.9%)      ","         "
"    1b","     1 (0.5%)      ","     1 (0.9%)      ","         "
"    3a","     2 (1.0%)      ","     0 (0.0%)      ","         "
"    3b","     2 (1.0%)      ","     0 (0.0%)      ","         "
"    5a","     0 (0.0%)      ","     1 (0.9%)      ","         "
"Thongkinh:","                   ","                   ","  0.434  "
"    0","    206 (99.5%)    ","    111 (98.2%)    ","         "
"    1a","     0 (0.0%)      ","     1 (0.9%)      ","         "
"    1b","     1 (0.5%)      ","     1 (0.9%)      ","         "
"Dauman: 0","   207 (100.0%)    ","   113 (100.0%)    ","    .    "
"Daugiaohop:","                   ","                   ","  1.000  "
"    0","    205 (99.0%)    ","    112 (99.1%)    ","         "
"    1b","     2 (1.0%)      ","     1 (0.9%)      ","         "
"chan_doan:","                   ","                   "," <0.001  "
"    Expectant management","    43 (20.8%)     ","     0 (0.0%)      ","         "
"    IVF","    144 (69.6%)    ","    106 (93.8%)    ","         "
"    IVF/IUI","     8 (3.9%)      ","     4 (3.5%)      ","         "
"    OI/IUI","     12 (5.8%)     ","     3 (2.7%)      ","         "
"OI_IUI:","                   ","                   ","  0.165  "
"    1","    16 (57.1%)     ","     7 (77.8%)     ","         "
"    2","     9 (32.1%)     ","     1 (11.1%)     ","         "
"    3","     3 (10.7%)     ","     0 (0.0%)      ","         "
"    5","     0 (0.0%)      ","     1 (11.1%)     ","         "
"IVF:","                   ","                   ","  0.445  "
"    1","    131 (87.3%)    ","    100 (90.9%)    ","         "
"    2","     12 (8.0%)     ","     6 (5.5%)      ","         "
"    3","     4 (2.7%)      ","     4 (3.6%)      ","         "
"    4","     3 (2.0%)      ","     0 (0.0%)      ","         "
"ongoing:","                   ","                   "," <0.001  "
"    0","    202 (97.6%)    ","     0 (0.0%)      ","         "
"    1","     5 (2.4%)      ","   113 (100.0%)    ","         "
"beta:","                   ","                   "," <0.001  "
"    0","    162 (78.3%)    ","     0 (0.0%)      ","         "
"    1","    41 (19.8%)     ","    106 (93.8%)    ","         "
"    2","     4 (1.9%)      ","     7 (6.2%)      ","         "
"clinical:","                   ","                   "," <0.001  "
"    0","    178 (86.0%)    ","     0 (0.0%)      ","         "
"    1","    28 (13.5%)     ","    111 (98.2%)    ","         "
"    2","     1 (0.5%)      ","     2 (1.8%)      ","         "
"ectopic:","                   ","                   ","  0.094  "
"    0","    201 (97.1%)    ","   113 (100.0%)    ","         "
"    1","     6 (2.9%)      ","     0 (0.0%)      ","         "
"mis:","                   ","                   ","  0.066  "
"    0","    189 (91.3%)    ","    110 (97.3%)    ","         "
