"","[ALL]"," 0 "," 1 ","       method        ","select","Fact OR/HR"
"Group"," 320 ","207","113","     categorical     "," ALL  ","    --    "
"age"," 320 ","207","113","  continuous-normal  "," ALL  ","    1     "
"MLT_HM_duration"," 320 ","207","113","  continuous-normal  "," ALL  ","    1     "
"bmi"," 320 ","207","113","  continuous-normal  "," ALL  ","    1     "
"AMH"," 257 ","166","91 ","continuous-non-normal"," ALL  ","    1     "
"Chan_doan"," 320 ","207","113","     categorical     "," ALL  ","    --    "
"inf_duration"," 320 ","207","113","  continuous-normal  "," ALL  ","    1     "
"ChidinhMLT"," 320 ","207","113","     categorical     "," ALL  ","    --    "
"Dathai"," 320 ","207","113","     categorical     "," ALL  ","    --    "
"NhiemtrungVM"," 320 ","207","113","     categorical     "," ALL  ","    --    "
"THAthai"," 320 ","207","113","     categorical     "," ALL  ","    --    "
"DTDthai"," 320 ","207","113","     categorical     "," ALL  ","    --    "
"XHTC"," 319 ","206","113","     categorical     "," ALL  ","    --    "
"Thongkinh"," 320 ","207","113","     categorical     "," ALL  ","    --    "
"Dauman"," 320 ","207","113","     categorical     "," ALL  ","    --    "
"Daugiaohop"," 320 ","207","113","     categorical     "," ALL  ","    --    "
"chan_doan"," 320 ","207","113","     categorical     "," ALL  ","    --    "
"OI_IUI"," 37  ","28 "," 9 ","     categorical     "," ALL  ","    --    "
"IVF"," 260 ","150","110","     categorical     "," ALL  ","    --    "
"ongoing"," 320 ","207","113","     categorical     "," ALL  ","    --    "
"beta"," 320 ","207","113","     categorical     "," ALL  ","    --    "
"clinical"," 320 ","207","113","     categorical     "," ALL  ","    --    "
"ectopic"," 320 ","207","113","     categorical     "," ALL  ","    --    "
"mis"," 320 ","207","113","     categorical     "," ALL  ","    --    "
"thai_bam_seo"," 320 ","207","113","     categorical     "," ALL  ","    --    "
"mul"," 320 ","207","113","     categorical     "," ALL  ","    --    "
"nhau_tien_dao"," 320 ","207","113","     categorical     "," ALL  ","    --    "
"nhau_cai_rl"," 320 ","207","113","     categorical     "," ALL  ","    --    "
"vo_TC"," 320 ","207","113","     categorical     "," ALL  ","    --    "
"BHSS"," 320 ","207","113","     categorical     "," ALL  ","    --    "
"u_dich"," 320 ","207","113","     categorical     "," ALL  ","    --    "
"cancel"," 320 ","207","113","     categorical     "," ALL  ","    --    "
"time_to_lb"," 70  "," 1 ","69 ","continuous-non-normal"," ALL  ","    1     "
"ges"," 70  "," 1 ","69 ","  continuous-normal  "," ALL  ","    1     "
