,variables,coefficient,lower,upper,p-value,,
1,age,0.955000752,0.906375014,1.006235192,0.08419636,,0.96 [0.91;1.01]; 0.084
2,bmi,0.982221562,0.900511944,1.071345253,0.685622176,,0.98 [0.9;1.07]; 0.686
3,AMH,1.032879102,0.944513421,1.129511995,0.478356856,,1.03 [0.94;1.13]; 0.478
4,inf_duration,0.965988038,0.879847224,1.060562406,0.467762921,,0.97 [0.88;1.06]; 0.468
6,factor(Group)non-CSD,0.760390026,0.474088979,1.219587496,0.255785697,,0.76 [0.47;1.22]; 0.256
5,CS:2,0.985486212,0.381566157,2.54525475,0.975907836,,0.99 [0.38;2.55]; 0.976
6,Dathai1,1.87037037,0.529787507,6.603185762,0.33061343,,1.87 [0.53;6.6]; 0.331
7,THAthai1,2.795454545,0.460182102,16.98146469,0.264083927,,2.8 [0.46;16.98]; 0.264
8,DTDthai,2.415048544,0.92502879,6.305165343,0.071734265,,2.42 [0.93;6.31]; 0.072
9,MLT_HM_duration,0.89908087,0.835115811,0.967945283,0.004725425,,0.9 [0.84;0.97]; 0.005
,TutheTC2,0.7674419,0.47623826,1.2367066,0.275077817,,0.77 [0.48;1.24]; 0.275
,TutheTC3,0.1428572,0.01791846,1.1389471,0.065157857,,0.14 [0.02;1.14]; 0.065
,ChidinhMLT: 0,1159274.00,0,Inf,0.9821527,,
,ChidinhMLT: emergency,1.03,0.6143345,1.7127688,9.22E-01,,1.03 [0.61;1.71]; 0.922
,Nhiemtrung:1,0.62,0.0629945,6.066383,6.79E-01,,0.62 [0.06;6.07]; 0.679
,Nhiemtrung:2,3928261.00,0,,,,
11,maxCycle,1.003832056,0.997365552,1.010340487,0.246070489,,1 [1;1.01]; 0.246
12,TuoithaiMLT,0.753884712,0.31905581,1.781325212,0.519603817,,0.75 [0.32;1.78]; 0.52
13,TutheTC,0.655147438,0.430722633,0.996507108,0.04811901,,0.66 [0.43;1]; 0.048
14,Dichlong1,1.484848485,0.708761765,3.110742044,0.294793238,,1.48 [0.71;3.11]; 0.295
15,UXTC1,0.592592593,0.209619507,1.675254303,0.323716156,,0.59 [0.21;1.68]; 0.324
16,Adeno,1.15162037,0.367705753,3.606768366,0.808501466,,1.15 [0.37;3.61]; 0.809
17,d,0.954145048,0.840489473,1.083169751,0.468223723,,0.95 [0.84;1.08]; 0.468
18,dayl,0.873040903,0.73529341,1.036593567,0.121204277,,0.87 [0.74;1.04]; 0.121
19,maxl,0.910338105,0.781911014,1.059859052,0.226010168,,0.91 [0.78;1.06]; 0.226
20,dayr,0.973908837,0.903694589,1.049578512,0.488627373,,0.97 [0.9;1.05]; 0.489
21,maxr,0.980761822,0.918413451,1.04734284,0.562140379,,0.98 [0.92;1.05]; 0.562
22,RMT,0.979080002,0.889965839,1.077117355,0.664131204,,0.98 [0.89;1.08]; 0.664
23,AMT,0.981261565,0.935593032,1.029159288,0.436608225,,0.98 [0.94;1.03]; 0.437
24,BQAD,0.9887172,0.949913838,1.029105655,0.578569909,,0.99 [0.95;1.03]; 0.579
25,loCTC,1.024833636,0.97414116,1.078164054,0.343259262,,1.02 [0.97;1.08]; 0.343
26,Sonhanhphu,1.521510573,0.630529191,3.671510307,0.3503953,,1.52 [0.63;3.67]; 0.35
27,phur2,2.18E+21,0,Inf,0.999788416,,
28,phud12.7 - 12.2 - 8,1,0,Inf,1,,
29,phuRMT1.2,2.18E+21,0,Inf,0.999788416,,
,cancel,1.0484928,0.3002668,3.6612015,0.940832752,,1.05 [0.3;3.66]; 0.941
,u_dich,1.5655914,0.8264648,2.9657362,0.169060686,,1.57 [0.83;2.97]; 0.169
